ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"magnificas vistas, muy soleado.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,31239336,Piso,,1,Soria,Distrito Calaverón - Pajaritos," Calle venerable carabantes, 19 , Distrito Calaverón - Pajaritos , Soria , Área de Soria, Soria ","Calle venerable carabantes, 19",,"Área de Soria, Soria",89,83,2019-04-11,"sur, este",130000,0,3,1,0,1,
Se vende casa de pueblo a reformar. Dispone de amplia parcela aprovechable para jardín y/o huerto con pozo propio. Edificio exento con amplias vistas al entorno natural. Lugar de descanso y relajación. Entorno natural proximo con pinares y encinares y un pequeño río.,más de 5 meses sin actualizar,0,0,sin baños,0,1,segunda mano/para reformar,,no indicado,3 plantas,,0,,,31456626, Casa de pueblo,,,Quintana Redonda,"Calle tras iglesia, 1"," Calle tras iglesia, 1 , Quintana Redonda , Área de Soria, Soria ",,,"Área de Soria, Soria",400,150,2019-04-11,sur,18000,0,4,0,0,0,
"distribución:,3 habitaciones + salón + cocina+ 2 baños + garaje.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,plaza de garaje incluida en el precio,0,,,31910678,Piso,,1,Soria,Distrito Zona Polideportivos Asperon - Mariano Vicen," Calle Venerable Carabantes, 1 , Distrito Zona Polideportivos Asperon - Mariano Vicen , Soria , Área de Soria, Soria ","Calle Venerable Carabantes, 1",,"Área de Soria, Soria",105,,2019-04-11,oeste,199000,0,3,0,0,0,
"Piso a estrenar, exterior, garaje opcional.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,inmueble exento,planta 1ª exterior,,0,,,33274402,Piso,,1,Almazan,"Calle comuneros castilla, 26"," Calle comuneros castilla, 26 , Almazan , Almazán, Soria ",,,"Almazán, Soria",90,,2019-04-11,,115000,0,3,1,0,1,
"Preciosa casa en entorno natural. muy cómoda para disfrutar en familia o con amigos. El pueblo dispone de todos los servicios principales como colegio centro médico, bares, piscina etc.. . La casa esta situada en un punto estratégico entre los principales lugares de interés turístico. Actualmente funciona como alojamiento rural.",más de 5 meses sin actualizar,0,0,3,1,1,segunda mano/buen estado,,inmueble exento,3 plantas,plaza de garaje incluida en el precio,0,,,34183370, Casa rural,,,Cabrejas del Pinar,"Calle las eras, 14"," Calle las eras, 14 , Cabrejas del Pinar , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",260,,2019-04-11,"sur, este",125000,0,4,1,0,1,
"Piso de 3 dormitorios + amplio salón con salida a terraza con vistas al pantano, cocina con balcón, un baño completo y un pequeño aseo. Dispone también de cochera privada individual recién pintada. Precio negociable. Posibilidad con muebles o sin muebles. Venga a verlo sin compromiso.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,plaza de garaje incluida en el precio,1,,,34623551,Piso,,0,Vinuesa,"Calle gerardo diego, 2"," Calle gerardo diego, 2 , Vinuesa , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",90,,2019-04-11,,113000,0,4,0,0,1,
"Preciosa casa con jardín, Cocina nueva muy practica, gran Salón-Comedor, 5 Dormitorios muy amplios y 4 cuartos de baño, Cuenta con un Merendero-Asador con chimenea, todas las comodidades, se encuentra en una zona muy discreta en entorno natural y a la vez a 50 m del pueblo. con todos los servicios, médico, bares, tiendas, piscina...",más de 5 meses sin actualizar,0,0,4,1,0,segunda mano/buen estado,,,2 plantas,plaza de garaje incluida en el precio,1,,,34737214, Casa o chalet independiente,,,Abejar,"Calle Don Anselmo de la Orden, 82"," Calle Don Anselmo de la Orden, 82 , Abejar , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",580,240,2019-04-11,sur,179000,0,5,1,0,1,
"Se alquila piso en ágreda. Céntrico, soleado, amueblado, con ascensor.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,34973877,Piso,,1,Agreda,"Carretera vozmediano, 2"," Carretera vozmediano, 2 , Agreda , Área de Soria, Soria ",,,"Área de Soria, Soria",86,,2019-04-11,sur,125000,0,3,1,0,0,
"Casa reformada en zona tranquila con calefacción nueva de gasoil, muy comoda y soleada.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,,,,0,,,35627708, Casa o chalet independiente,,,Arcos de Jalon,"C st agueda, 2"," C st agueda, 2 , Arcos de Jalon , Almazán, Soria ",,,"Almazán, Soria",110,,2019-04-11,,49500,0,3,0,0,0,
"Se vende acogedor Ático, completamente amueblado, techos de madera en habitaciones y salón. Prácticamente a estrenar.,El piso tiene 2 habitaciones muy grandes y 1 baño. Amplia y equipada cocina. Un salón muy espacioso con grandes ventanales y una Chimenea francesa.,Sistema de calefacción: caldera de gas.,También posee un amplio garaje.,Ubicado en una zona alta con hermosas vistas al monte y al pueblo.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,plaza de garaje incluida en el precio,1,,,35911002,Ático,,0,Vinuesa,"Calle Rebollo, 7"," Calle Rebollo, 7 , Vinuesa , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",90,,2019-04-11,,114500,0,2,1,0,0,
"Piso muy luminoso, dos terrazas, chimenea, baño completo y aseo, amplias habitaciones, preciosas vistas de Langa de Duero.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,36384609,Piso,,0,Langa de Duero,"Calle Río, 75"," Calle Río, 75 , Langa de Duero , Burgo de Osma, Soria ",,,"Burgo de Osma, Soria",100,85,2019-04-11,,90000,0,3,0,0,1,
Piso completamente amueblado todo exterior.,más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,,planta 2ª exterior,,0,,,36701687,Piso,,1,Soria,Distrito La Florida - San Pedro," Calle Maestro García Muñoz, 12 , Distrito La Florida - San Pedro , Soria , Área de Soria, Soria ","Calle Maestro García Muñoz, 12",,"Área de Soria, Soria",89,,2019-04-11,norte,138000,0,3,1,0,0,
