"ambitos territoriales";"tipo de renta";"sexo";"2016"
"Sukarrieta";"Renta disponible";"Total";22395
"Tolosa";"Renta total";"Total";22454
"Tolosa";"Renta del trabajo";"Total";13372
"Tolosa";"Renta capital mobiliario";"Total";1159
"Tolosa";"Renta capital inmobiliario";"Total";552
"Tolosa";"Renta de actividades";"Total";907
"Tolosa";"Transferencias";"Total";6464
"Tolosa";"Renta disponible";"Total";18927
"Trucios-Turtzioz";"Renta total";"Total";15532
"Trucios-Turtzioz";"Renta del trabajo";"Total";7926
"Trucios-Turtzioz";"Renta capital mobiliario";"Total";1038
"Trucios-Turtzioz";"Renta capital inmobiliario";"Total";206
"Trucios-Turtzioz";"Renta de actividades";"Total";1320
"Trucios-Turtzioz";"Transferencias";"Total";5042
"Trucios-Turtzioz";"Renta disponible";"Total";13173
"Ubide";"Renta total";"Total";17997
"Ubide";"Renta del trabajo";"Total";11821
"Ubide";"Renta capital mobiliario";"Total";309
"Ubide";"Renta capital inmobiliario";"Total";152
"Ubide";"Renta de actividades";"Total";529
"Ubide";"Transferencias";"Total";5187
"Ubide";"Renta disponible";"Total";15430
"Ugao-Miraballes";"Renta total";"Total";18100
"Ugao-Miraballes";"Renta del trabajo";"Total";11609
"Ugao-Miraballes";"Renta capital mobiliario";"Total";490
"Ugao-Miraballes";"Renta capital inmobiliario";"Total";325
"Ugao-Miraballes";"Renta de actividades";"Total";633
"Ugao-Miraballes";"Transferencias";"Total";5043
"Ugao-Miraballes";"Renta disponible";"Total";15441
"Urdúliz";"Renta total";"Total";21310
"Urdúliz";"Renta del trabajo";"Total";14785
"Urdúliz";"Renta capital mobiliario";"Total";826
"Urdúliz";"Renta capital inmobiliario";"Total";396
"Urdúliz";"Renta de actividades";"Total";1006
"Urdúliz";"Transferencias";"Total";4298
"Urdúliz";"Renta disponible";"Total";17812
"Urduña/Orduña";"Renta total";"Total";18107
"Urduña/Orduña";"Renta del trabajo";"Total";10695
"Urduña/Orduña";"Renta capital mobiliario";"Total";681
"Urduña/Orduña";"Renta capital inmobiliario";"Total";226
"Urduña/Orduña";"Renta de actividades";"Total";798
"Urduña/Orduña";"Transferencias";"Total";5706
"Urduña/Orduña";"Renta disponible";"Total";15462
"Urkabustaiz";"Renta total";"Total";19968
"Urkabustaiz";"Renta del trabajo";"Total";13819
"Urkabustaiz";"Renta capital mobiliario";"Total";644
"Urkabustaiz";"Renta capital inmobiliario";"Total";301
"Urkabustaiz";"Renta de actividades";"Total";1272
"Urkabustaiz";"Transferencias";"Total";3932
"Urkabustaiz";"Renta disponible";"Total";16741
"Urnieta";"Renta total";"Total";19559
"Urnieta";"Renta del trabajo";"Total";12904
"Urnieta";"Renta capital mobiliario";"Total";647
"Urnieta";"Renta capital inmobiliario";"Total";376
"Urnieta";"Renta de actividades";"Total";1064
"Urnieta";"Transferencias";"Total";4569
"Urnieta";"Renta disponible";"Total";16640
"Urretxu";"Renta total";"Total";22372
"Urretxu";"Renta del trabajo";"Total";13722
"Urretxu";"Renta capital mobiliario";"Total";1260
"Urretxu";"Renta capital inmobiliario";"Total";311
"Urretxu";"Renta de actividades";"Total";898
"Urretxu";"Transferencias";"Total";6181
"Urretxu";"Renta disponible";"Total";19062
"Usurbil";"Renta total";"Total";20979
"Usurbil";"Renta del trabajo";"Total";13088
"Usurbil";"Renta capital mobiliario";"Total";833
"Usurbil";"Renta capital inmobiliario";"Total";373
"Usurbil";"Renta de actividades";"Total";1016
"Usurbil";"Transferencias";"Total";5669
"Usurbil";"Renta disponible";"Total";17862
"Valdegovía/Gaubea";"Renta total";"Total";18402
"Valdegovía/Gaubea";"Renta del trabajo";"Total";9780
"Valdegovía/Gaubea";"Renta capital mobiliario";"Total";831
"Valdegovía/Gaubea";"Renta capital inmobiliario";"Total";349
"Valdegovía/Gaubea";"Renta de actividades";"Total";1674
"Valdegovía/Gaubea";"Transferencias";"Total";5767
"Valdegovía/Gaubea";"Renta disponible";"Total";15772
"Valle de Trápaga-Trapagaran";"Renta total";"Total";16936
"Valle de Trápaga-Trapagaran";"Renta del trabajo";"Total";10259
"Valle de Trápaga-Trapagaran";"Renta capital mobiliario";"Total";441
"Valle de Trápaga-Trapagaran";"Renta capital inmobiliario";"Total";187
"Valle de Trápaga-Trapagaran";"Renta de actividades";"Total";647
"Valle de Trápaga-Trapagaran";"Transferencias";"Total";5403
"Valle de Trápaga-Trapagaran";"Renta disponible";"Total";14566
"Villabona";"Renta total";"Total";19216
"Villabona";"Renta del trabajo";"Total";11678
"Villabona";"Renta capital mobiliario";"Total";723
"Villabona";"Renta capital inmobiliario";"Total";324
"Villabona";"Renta de actividades";"Total";839
"Villabona";"Transferencias";"Total";5651
"Villabona";"Renta disponible";"Total";16439
"Villabuena de Álava/Eskuernaga";"Renta total";"Total";15476
"Villabuena de Álava/Eskuernaga";"Renta del trabajo";"Total";3830
"Villabuena de Álava/Eskuernaga";"Renta capital mobiliario";"Total";695
"Villabuena de Álava/Eskuernaga";"Renta capital inmobiliario";"Total";473
"Villabuena de Álava/Eskuernaga";"Renta de actividades";"Total";6536
"Villabuena de Álava/Eskuernaga";"Transferencias";"Total";3943
"Villabuena de Álava/Eskuernaga";"Renta disponible";"Total";13475
"Vitoria-Gasteiz";"Renta total";"Total";20115
"Vitoria-Gasteiz";"Renta del trabajo";"Total";12404
"Vitoria-Gasteiz";"Renta capital mobiliario";"Total";1028
"Vitoria-Gasteiz";"Renta capital inmobiliario";"Total";415
"Vitoria-Gasteiz";"Renta de actividades";"Total";754
"Vitoria-Gasteiz";"Transferencias";"Total";5514
"Vitoria-Gasteiz";"Renta disponible";"Total";16848
"Yécora/Iekora";"Renta total";"Total";16040
"Yécora/Iekora";"Renta del trabajo";"Total";4133
"Yécora/Iekora";"Renta capital mobiliario";"Total";853
"Yécora/Iekora";"Renta capital inmobiliario";"Total";387
"Yécora/Iekora";"Renta de actividades";"Total";6956
"Yécora/Iekora";"Transferencias";"Total";3712
"Yécora/Iekora";"Renta disponible";"Total";13780
"Zaldibar";"Renta total";"Total";22319
"Zaldibar";"Renta del trabajo";"Total";13603
"Zaldibar";"Renta capital mobiliario";"Total";2296
"Zaldibar";"Renta capital inmobiliario";"Total";370
"Zaldibar";"Renta de actividades";"Total";803
"Zaldibar";"Transferencias";"Total";5247
"Zaldibar";"Renta disponible";"Total";18696
"Zaldibia";"Renta total";"Total";22200
"Zaldibia";"Renta del trabajo";"Total";12698
"Zaldibia";"Renta capital mobiliario";"Total";1184
"Zaldibia";"Renta capital inmobiliario";"Total";347
"Zaldibia";"Renta de actividades";"Total";913
"Zaldibia";"Transferencias";"Total";7058
"Zaldibia";"Renta disponible";"Total";18924
"Zalduondo";"Renta total";"Total";24493
"Zalduondo";"Renta del trabajo";"Total";13703
"Zalduondo";"Renta capital mobiliario";"Total";4472
"Zalduondo";"Renta capital inmobiliario";"Total";97
"Zalduondo";"Renta de actividades";"Total";1788
"Zalduondo";"Transferencias";"Total";4433
"Zalduondo";"Renta disponible";"Total";20136
"Zalla";"Renta total";"Total";17391
"Zalla";"Renta del trabajo";"Total";10616
"Zalla";"Renta capital mobiliario";"Total";438
"Zalla";"Renta capital inmobiliario";"Total";308
"Zalla";"Renta de actividades";"Total";898
"Zalla";"Transferencias";"Total";5129
"Zalla";"Renta disponible";"Total";14896
"Zambrana";"Renta total";"Total";17440
"Zambrana";"Renta del trabajo";"Total";10850
"Zambrana";"Renta capital mobiliario";"Total";306
"Zambrana";"Renta capital inmobiliario";"Total";288
"Zambrana";"Renta de actividades";"Total";671
"Zambrana";"Transferencias";"Total";5325
"Zambrana";"Renta disponible";"Total";14881
"Zamudio";"Renta total";"Total";20201
"Zamudio";"Renta del trabajo";"Total";12203
"Zamudio";"Renta capital mobiliario";"Total";1655
"Zamudio";"Renta capital inmobiliario";"Total";460
"Zamudio";"Renta de actividades";"Total";812
"Zamudio";"Transferencias";"Total";5072
"Zamudio";"Renta disponible";"Total";17081
"Zaratamo";"Renta total";"Total";18387
"Zaratamo";"Renta del trabajo";"Total";11174
"Zaratamo";"Renta capital mobiliario";"Total";581
"Zaratamo";"Renta capital inmobiliario";"Total";309
"Zaratamo";"Renta de actividades";"Total";764
"Zaratamo";"Transferencias";"Total";5558
"Zaratamo";"Renta disponible";"Total";15721
"Zarautz";"Renta total";"Total";22765
"Zarautz";"Renta del trabajo";"Total";13644
"Zarautz";"Renta capital mobiliario";"Total";1632
"Zarautz";"Renta capital inmobiliario";"Total";752
"Zarautz";"Renta de actividades";"Total";1200
"Zarautz";"Transferencias";"Total";5538
"Zarautz";"Renta disponible";"Total";18902
"Zeanuri";"Renta total";"Total";22949
"Zeanuri";"Renta del trabajo";"Total";14714
"Zeanuri";"Renta capital mobiliario";"Total";1138
"Zeanuri";"Renta capital inmobiliario";"Total";277
"Zeanuri";"Renta de actividades";"Total";1246
"Zeanuri";"Transferencias";"Total";5574
"Zeanuri";"Renta disponible";"Total";19116
"Zeberio";"Renta total";"Total";20409
"Zeberio";"Renta del trabajo";"Total";13376
"Zeberio";"Renta capital mobiliario";"Total";745
"Zeberio";"Renta capital inmobiliario";"Total";391
"Zeberio";"Renta de actividades";"Total";883
"Zeberio";"Transferencias";"Total";5014
"Zeberio";"Renta disponible";"Total";17094
"Zegama";"Renta total";"Total";22455
"Zegama";"Renta del trabajo";"Total";13719
"Zegama";"Renta capital mobiliario";"Total";1641
"Zegama";"Renta capital inmobiliario";"Total";260
"Zegama";"Renta de actividades";"Total";899
"Zegama";"Transferencias";"Total";5938
"Zegama";"Renta disponible";"Total";19275
"Zerain";"Renta total";"Total";25027
"Zerain";"Renta del trabajo";"Total";14280
"Zerain";"Renta capital mobiliario";"Total";2318
"Zerain";"Renta capital inmobiliario";"Total";241
"Zerain";"Renta de actividades";"Total";1054
"Zerain";"Transferencias";"Total";7135
"Zerain";"Renta disponible";"Total";20945
"Zestoa";"Renta total";"Total";19388
"Zestoa";"Renta del trabajo";"Total";11549
"Zestoa";"Renta capital mobiliario";"Total";633
"Zestoa";"Renta capital inmobiliario";"Total";229
"Zestoa";"Renta de actividades";"Total";1251
"Zestoa";"Transferencias";"Total";5726
"Zestoa";"Renta disponible";"Total";16680
"Zierbena";"Renta total";"Total";20962
"Zierbena";"Renta del trabajo";"Total";13948
"Zierbena";"Renta capital mobiliario";"Total";883
"Zierbena";"Renta capital inmobiliario";"Total";591
"Zierbena";"Renta de actividades";"Total";1007
"Zierbena";"Transferencias";"Total";4532
"Zierbena";"Renta disponible";"Total";17427
"Zigoitia";"Renta total";"Total";25338
"Zigoitia";"Renta del trabajo";"Total";16105
"Zigoitia";"Renta capital mobiliario";"Total";1589
"Zigoitia";"Renta capital inmobiliario";"Total";870
"Zigoitia";"Renta de actividades";"Total";1461
"Zigoitia";"Transferencias";"Total";5312
"Zigoitia";"Renta disponible";"Total";20704
"Ziortza-Bolibar";"Renta total";"Total";20846
"Ziortza-Bolibar";"Renta del trabajo";"Total";12350
"Ziortza-Bolibar";"Renta capital mobiliario";"Total";1653
"Ziortza-Bolibar";"Renta capital inmobiliario";"Total";294
"Ziortza-Bolibar";"Renta de actividades";"Total";1495
"Ziortza-Bolibar";"Transferencias";"Total";5055
"Ziortza-Bolibar";"Renta disponible";"Total";17749
"Zizurkil";"Renta total";"Total";20115
"Zizurkil";"Renta del trabajo";"Total";12138
"Zizurkil";"Renta capital mobiliario";"Total";969
"Zizurkil";"Renta capital inmobiliario";"Total";521
"Zizurkil";"Renta de actividades";"Total";703
"Zizurkil";"Transferencias";"Total";5784
"Zizurkil";"Renta disponible";"Total";17222
"Zuia";"Renta total";"Total";24566
"Zuia";"Renta del trabajo";"Total";17102
"Zuia";"Renta capital mobiliario";"Total";911
"Zuia";"Renta capital inmobiliario";"Total";470
"Zuia";"Renta de actividades";"Total";1438
"Zuia";"Transferencias";"Total";4645
"Zuia";"Renta disponible";"Total";19919
"Zumaia";"Renta total";"Total";22234
"Zumaia";"Renta del trabajo";"Total";13480
"Zumaia";"Renta capital mobiliario";"Total";1673
"Zumaia";"Renta capital inmobiliario";"Total";436
"Zumaia";"Renta de actividades";"Total";984
"Zumaia";"Transferencias";"Total";5662
"Zumaia";"Renta disponible";"Total";18725
"Zumarraga";"Renta total";"Total";20472
"Zumarraga";"Renta del trabajo";"Total";12189
"Zumarraga";"Renta capital mobiliario";"Total";788
"Zumarraga";"Renta capital inmobiliario";"Total";209
"Zumarraga";"Renta de actividades";"Total";706
"Zumarraga";"Transferencias";"Total";6579
"Zumarraga";"Renta disponible";"Total";17701
