"ambitos territoriales";"tipo de renta";"sexo";"2016"
"Ayala/Aiara";"Renta capital mobiliario";"Total";710
"Ayala/Aiara";"Renta capital inmobiliario";"Total";313
"Ayala/Aiara";"Renta de actividades";"Total";1198
"Ayala/Aiara";"Transferencias";"Total";4504
"Ayala/Aiara";"Renta disponible";"Total";16850
"Azkoitia";"Renta total";"Total";20861
"Azkoitia";"Renta del trabajo";"Total";12745
"Azkoitia";"Renta capital mobiliario";"Total";1172
"Azkoitia";"Renta capital inmobiliario";"Total";389
"Azkoitia";"Renta de actividades";"Total";825
"Azkoitia";"Transferencias";"Total";5730
"Azkoitia";"Renta disponible";"Total";17802
"Azpeitia";"Renta total";"Total";21182
"Azpeitia";"Renta del trabajo";"Total";12356
"Azpeitia";"Renta capital mobiliario";"Total";1484
"Azpeitia";"Renta capital inmobiliario";"Total";396
"Azpeitia";"Renta de actividades";"Total";884
"Azpeitia";"Transferencias";"Total";6062
"Azpeitia";"Renta disponible";"Total";18042
"Bakio";"Renta total";"Total";24994
"Bakio";"Renta del trabajo";"Total";16447
"Bakio";"Renta capital mobiliario";"Total";1432
