ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Caserío en zona llana con con vistas espectaculares. Rodeado de 28.000 metros de zona verde y llana a su alrededor con posibilidad de más terrenos en los alrededores.,Dispone de 2 plantas con camarote y cuadras.",Anuncio actualizado el 26 de marzo,0,0,2,0,0,segunda mano/para reformar,,no indicado,2 plantas,,1,,no dispone de calefacción,83702970, Caserón,,,Aramaio,"Barajuen Entitatea, 9"," Barajuen Entitatea, 9 , Aramaio , Zuya, Álava ",,,"Zuya, Álava",350,,2019-03-29,,189000,0,4,0,0,0,
,Anuncio actualizado el 18 de marzo,0,0,1,1,0,segunda mano/buen estado,,,planta 2ª exterior,,0,,,25555209,Piso,,0,Legutiano,"Elixoste, 1"," Elixoste, 1 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",64,58,2019-03-29,"sur, este",100000,0,2,1,0,0,
,Anuncio actualizado el 17 de marzo,0,0,1,1,0,segunda mano/buen estado,,en trámite,bajo exterior,,0,,,27371084,Piso,,0,Legutiano,"Calle Comercio Kalea, 17"," Calle Comercio Kalea, 17 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",63,60,2019-03-29,,150000,0,2,0,0,0,
,Anuncio actualizado el 3 de diciembre,0,0,2,1,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,1,,,25212918, Casa o chalet independiente,,,Zigoitia,"Calle de Ibarbetxi, 2"," Calle de Ibarbetxi, 2 , Zigoitia , Zuya, Álava ",,,"Zuya, Álava",2000,,2019-03-29,"sur, este",372000,0,3,1,0,0,
"urrunaga (alava), se vende casa de 558 m2. , para reformar con parcela de 1.220 m2. , excelente ubicacion, ideal para residencia, precio negociable ¡ven e informate¡.",Anuncio actualizado el 14 de enero,0,0,1,0,0,segunda mano/para reformar,,en trámite,2 plantas,,0,,,83216191, Casa o chalet independiente,,,Legutiano,," , Legutiano , Zuya, Álava ",,,"Zuya, Álava",1220,,2019-03-29,,390000,0,1,0,0,0,
,Anuncio actualizado el 25 de febrero,0,0,2,1,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,1,,,36179481, Chalet adosado,,,Urcabustaiz,"Beluntzabidea Bidea, 13"," Beluntzabidea Bidea, 13 , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",121,90,2019-03-29,,168284,0,3,1,0,1,
"Individual de 238 m2 en parcela de 1.500 m2. 4 dormitorios, 3 baños, uno incorporado en dormitorio principal, salón con chimenea, cocina, txoko con chimenea y ático de 48 m2. Garaje doble, dos bodegas, calef de gasoil. Tejado nuevo. BUEN ESTADO.",Anuncio actualizado el 31 de enero,0,0,2,0,0,segunda mano/buen estado,1982,en trámite,,plaza de garaje incluida en el precio,1,,,38487536, Casa o chalet,,,Zigoitia,," , Zigoitia , Zuya, Álava ",,,"Zuya, Álava",260,238,2019-03-29,sur,355000,0,4,1,0,1,
"Chalet adosado de 2 plantas distribuidas de la siguiente manera; en la planta baja se encuentra  la cocina, el salón -comedor, 1 cuarto de baño y un armario empotrado en el hall; en la primera planta tenemos 3 dormitorios abuhardillados y 1 cuarto de baño. Plaza de garaje con trastero.  Jardín de 30m2 con porche y terraza. VPO con suelo en propiedad.",Anuncio actualizado el 9 de marzo,0,0,2,0,0,segunda mano/buen estado,2005,,,plaza de garaje incluida en el precio,1,,,84446680, Casa o chalet,,,Urcabustaiz,," , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",121,119,2019-03-29,,168300,0,3,1,0,0,
"Segunda planta de 70 m2, para poder realizar un duplex de 140 m2, el piso tiene muchas posibilidades.",Anuncio actualizado el 10 de enero,0,1,1,0,0,segunda mano/para reformar,,,planta 2ª,,0,,,39480673,Piso,,,Aramaio,," , Aramaio , Zuya, Álava ",,,"Zuya, Álava",85,,2019-03-29,,120000,0,4,1,0,0,
Zona comunitaria recien reformada. parking exterior para vecinos. Portero automático nuevo. Muy luminoso.,Anuncio actualizado el 18 de marzo,0,1,1,1,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,,1,,,390366,Piso,,0,Urcabustaiz,"Calle Godamiturri, 21"," Calle Godamiturri, 21 , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",101,80,2019-03-29,"norte, sur, oeste",78000,0,3,1,0,1,
